firstName,lastName,,Tm,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Carlik,Jones,,CHI,56,6,15,5,8,1,4,5,6,2,0,2,2,20
Damian,Jones,,TOT,477,55,86,22,29,42,80,122,15,8,21,23,55,142
Damian,Jones,,LAL,176,20,37,15,20,18,37,55,4,3,12,9,17,55
Damian,Jones,,UTA,301,35,49,7,9,24,43,67,11,5,9,14,38,87
Derrick,Jones,Jr.,CHI,893,115,230,62,84,60,93,153,34,29,37,25,86,319
Herbert,Jones,,NOP,1951,235,501,123,161,97,172,269,162,103,42,88,208,649
Kai,Jones,,CHO,550,67,120,19,26,37,86,123,15,17,30,31,65,157
Tre,Jones,,SAS,1984,341,743,148,172,56,189,245,448,89,9,110,98,875
Tyus,Jones,,MEM,1940,311,710,80,100,28,172,200,417,83,6,74,32,823
DeAndre,Jordan,,DEN,586,88,115,22,48,52,150,202,34,12,23,48,71,199
Cory,Joseph,,DET,1227,150,351,57,72,21,85,106,217,34,9,56,88,427
Nikola,Jovi?,,MIA,204,28,69,18,19,9,22,31,10,7,2,10,19,82
Johnny,Juzang,,UTA,232,35,104,2,4,8,31,39,8,4,3,3,13,87
Mfiondu,Kabengele,,BOS,36,2,7,2,2,5,5,10,0,2,0,1,3,6
Frank,Kaminsky,,TOT,235,31,63,14,16,7,45,52,32,6,4,9,22,89
Frank,Kaminsky,,ATL,176,25,44,10,12,3,33,36,21,5,1,9,21,71
Frank,Kaminsky,,HOU,59,6,19,4,4,4,12,16,11,1,3,0,1,18
Trevor,Keels,,NYK,8,1,4,0,0,0,2,2,0,0,0,0,0,3
Luke,Kennard,,TOT,1315,188,382,37,39,15,143,158,91,32,5,46,82,546
Luke,Kennard,,LAC,725,98,211,19,20,6,77,83,37,19,4,30,47,274
Luke,Kennard,,MEM,590,90,171,18,19,9,66,75,54,13,1,16,35,272
Walker,Kessler,,UTA,1703,298,414,82,159,231,389,620,69,26,173,58,169,679
Braxton,Key,,DET,9,1,1,2,2,0,1,1,0,0,0,0,0,4
Louis,King,,PHI,29,8,13,0,1,2,2,4,2,1,0,2,4,20
Corey,Kispert,,WAS,2093,291,585,75,88,33,174,207,87,32,9,55,97,820
Maxi,Kleber,,DAL,930,77,169,27,38,30,105,135,52,12,30,27,85,220
Nathan,Knight,,MIN,291,46,81,39,57,22,34,56,13,10,6,21,41,139
Kevin,Knox,,TOT,952,152,332,46,60,34,143,177,33,24,12,50,95,415
Kevin,Knox,,DET,593,84,179,26,33,20,88,108,15,14,12,32,74,237
Kevin,Knox,,POR,359,68,153,20,27,14,55,69,18,10,0,18,21,178
Christian,Koloko,,TOR,802,72,150,37,59,84,87,171,31,21,57,20,128,182
John,Konchar,,MEM,1494,138,320,28,36,64,246,310,100,77,25,37,112,364
Furkan,Korkmaz,,PHI,353,48,111,26,36,6,36,42,22,10,3,24,18,140
Luke,Kornet,,BOS,804,113,170,32,39,86,111,197,53,11,46,25,81,261
Vit,Krejci,,ATL,165,15,37,1,2,6,20,26,17,5,1,5,17,36
Jonathan,Kuminga,,GSW,1394,261,497,90,138,70,161,231,125,41,31,95,157,666
Kyle,Kuzma,,WAS,2239,512,1142,173,237,55,408,463,239,36,29,190,145,1357
Anthony,Lamb,,GSW,1195,148,314,46,60,56,159,215,96,28,20,54,134,415
Jock,Landale,,PHO,979,178,337,79,105,119,161,280,68,16,30,59,126,456
Romeo,Langford,,SAS,844,121,259,39,56,57,57,114,50,24,13,30,67,297
Jake,LaRavia,,MEM,414,37,95,7,9,19,44,63,21,12,4,18,49,105
Zach,LaVine,,CHI,2768,673,1388,363,428,42,303,345,327,69,18,194,159,1913
A.J.,Lawson,,TOT,108,22,44,2,8,6,15,21,2,2,0,3,11,56
A.J.,Lawson,,MIN,2,1,1,0,0,0,1,1,0,0,0,0,1,2
A.J.,Lawson,,DAL,106,21,43,2,8,6,14,20,2,2,0,3,10,54
Damion,Lee,,PHO,1506,200,452,94,104,39,186,225,99,30,7,78,118,604
Saben,Lee,,TOT,373,49,121,42,57,13,32,45,67,19,1,24,32,151
Saben,Lee,,PHI,10,3,4,0,0,0,0,0,2,1,0,3,1,6
Saben,Lee,,PHO,363,46,117,42,57,13,32,45,65,18,1,21,31,145
Alex,Len,,SAC,161,16,30,11,16,24,36,60,12,4,11,16,28,43
Kawhi,Leonard,,LAC,1748,446,871,243,279,57,281,338,204,72,28,88,84,1239
Meyers,Leonard,,MIL,114,14,29,8,9,12,22,34,1,2,0,6,16,43
Caris,LeVert,,CLE,2237,320,742,130,180,53,229,282,287,72,24,116,170,897
Kira,Lewis,Jr.,NOP,235,40,88,19,22,5,28,33,23,10,2,10,24,114
Damian,Lillard,,POR,2107,556,1202,510,558,44,233,277,425,50,18,191,109,1866
Nassir,Little,,POR,976,134,303,33,46,27,114,141,50,20,20,36,66,359
Isaiah,Livers,,DET,1199,120,288,32,39,28,115,143,41,28,28,30,103,346
Kenneth,Lofton,Jr.,MEM,176,49,93,16,27,19,32,51,20,5,2,12,28,120
Kevon,Looney,,GSW,1958,242,384,94,155,274,486,760,207,52,50,45,225,578
Brook,Lopez,,MIL,2373,477,899,149,190,157,363,520,99,37,193,107,203,1239
Robin,Lopez,,CLE,299,48,75,14,18,23,28,51,19,2,8,25,43,112
Kevin,Love,,TOT,1240,165,424,80,91,59,340,399,116,16,12,70,97,509
Kevin,Love,,CLE,821,111,285,56,63,42,238,280,76,7,7,47,65,347
Kevin,Love,,MIA,419,54,139,24,28,17,102,119,40,9,5,23,32,162
Kyle,Lowry,,MIA,1718,196,485,116,135,43,182,225,281,57,21,103,143,615
Trey,Lyles,,SAC,1247,187,408,101,124,68,232,300,66,27,31,64,97,562
Théo,Maledon,,CHO,854,102,254,63,74,14,109,123,152,37,12,59,61,295
Sandro,Mamukelashvili,,TOT,660,97,230,39,57,70,115,185,62,14,12,35,52,263
Sandro,Mamukelashvili,,MIL,217,19,58,12,18,18,38,56,16,4,5,9,19,57
Sandro,Mamukelashvili,,SAS,443,78,172,27,39,52,77,129,46,10,7,26,33,206
Terance,Mann,,LAC,1872,272,524,92,118,77,199,276,184,42,22,80,149,713
Tre,Mann,,OKC,1183,197,501,42,55,27,128,155,120,40,11,62,99,517
Boban,Marjanovi?,,HOU,171,41,60,20,27,20,40,60,9,5,2,14,10,102
Lauri,Markkanen,,UTA,2273,571,1145,349,399,130,440,570,123,42,38,127,137,1691
Naji,Marshall,,NOP,1792,247,571,138,175,48,231,279,189,54,14,97,113,698
Caleb,Martin,,MIA,2077,254,548,91,113,88,256,344,117,71,31,78,145,683
Cody,Martin,,CHO,134,14,36,4,7,8,16,24,11,4,1,2,13,35
KJ,Martin,,HOU,2292,410,720,151,222,126,326,452,123,41,30,91,147,1039
Tyrese,Martin,,ATL,66,9,23,2,2,5,7,12,2,1,0,2,2,21
Garrison,Mathews,,TOT,686,73,201,48,53,11,62,73,26,24,5,19,62,257
Garrison,Mathews,,HOU,602,60,170,41,45,10,52,62,23,23,4,18,56,214
Garrison,Mathews,,ATL,84,13,31,7,8,1,10,11,3,1,1,1,6,43
Bennedict,Mathurin,,IND,2222,413,951,376,454,87,231,318,116,48,13,152,162,1302
Wesley,Matthews,,MIL,820,58,160,24,28,34,79,113,34,20,13,18,71,179
Tyrese,Maxey,,PHI,2016,439,913,180,213,23,153,176,212,49,8,80,132,1218
Skylar,Mays,,POR,189,34,68,12,13,2,17,19,50,6,1,10,11,92
Miles,McBride,,NYK,760,77,215,28,42,13,37,50,72,37,8,25,60,222
Mac,McClung,,PHI,41,9,20,3,5,3,7,10,9,0,0,3,3,25
CJ,McCollum,,NOP,2649,587,1344,183,238,55,273,328,429,70,38,183,153,1568
T.J.,McConnell,,IND,1526,283,521,58,68,45,189,234,397,81,10,143,105,650
Jaden,McDaniels,,MIN,2416,370,716,106,144,92,215,307,148,74,76,112,272,953
Jalen,McDaniels,,TOT,1913,281,617,116,138,63,283,346,130,83,34,93,209,755
Jalen,McDaniels,,CHO,1494,221,494,88,104,44,226,270,111,66,29,80,158,595
Jalen,McDaniels,,PHI,419,60,123,28,34,19,57,76,19,17,5,13,51,160
Doug,McDermott,,SAS,1314,239,523,53,70,24,115,139,91,13,6,58,118,654
JaVale,McGee,,DAL,355,80,125,24,41,30,77,107,11,4,26,36,54,186
Bryce,McGowens,,CHO,787,80,202,60,80,20,73,93,54,15,6,43,48,246
Rodney,McGruder,,DET,524,62,152,18,22,20,54,74,28,16,1,11,39,183
Jordan,McLaughlin,,MIN,678,61,145,15,18,15,47,62,148,32,4,33,28,161
De'Anthony,Melton,,PHI,2150,277,651,69,87,69,243,312,197,126,41,102,191,780
Sam,Merrill,,CLE,59,9,22,2,2,0,9,9,5,4,0,0,3,25
Chimezie,Metu,,SAC,689,129,219,54,73,47,151,198,40,22,21,32,81,321
Khris,Middleton,,MIL,801,177,406,92,102,28,112,140,163,23,5,71,68,497
Patty,Mills,,BRK,567,86,209,25,30,8,36,44,56,15,3,30,32,246
Shake,Milton,,PHI,1567,241,503,99,116,39,152,191,240,25,13,94,123,637
Justin,Minaya,,POR,89,7,23,0,1,3,12,15,4,2,5,4,9,17
Josh,Minott,,MIN,96,18,36,8,8,5,20,25,5,4,6,3,10,46
Davion,Mitchell,,SAC,1447,181,399,25,31,16,89,105,185,44,15,62,112,450
Donovan,Mitchell,,CLE,2432,679,1402,319,368,63,226,289,301,99,27,180,168,1922
Evan,Mobley,,CLE,2715,525,947,205,304,187,524,711,224,60,119,146,218,1277
Isaiah,Mobley,,CLE,84,12,28,4,4,4,16,20,3,4,3,1,8,31
Chima,Moneke,,SAC,8,1,2,0,2,2,0,2,1,0,0,2,2,2
Malik,Monk,,SAC,1719,357,796,184,207,32,171,203,298,49,20,146,125,1041
Moses,Moody,,GSW,817,108,227,37,53,28,77,105,51,18,7,34,54,302
Xavier,Moon,,LAC,20,3,9,0,0,0,3,3,5,0,0,1,2,7
Wendell,Moore,Jr.,MIN,153,18,43,4,5,4,14,18,18,8,5,8,13,42
Ja,Morant,,MEM,1948,566,1214,372,497,61,296,357,493,66,16,206,100,1596
Marcus,Morris,,LAC,1825,274,643,68,87,29,229,258,114,42,21,56,136,728
Markieff,Morris,,TOT,355,47,115,10,10,13,58,71,31,9,5,18,48,132
Markieff,Morris,,BRK,285,33,82,10,10,13,46,59,25,8,5,14,33,96
Markieff,Morris,,DAL,70,14,33,0,0,0,12,12,6,1,0,4,15,36
Monte,Morris,,WAS,1695,247,515,64,77,26,184,210,326,43,13,60,75,636
Trey,Murphy,III,NOP,2448,387,800,172,190,59,222,281,112,89,43,61,155,1148
Dejounte,Murray,,ATL,2693,612,1319,158,190,53,336,389,448,112,19,160,106,1515
Jamal,Murray,,DEN,2133,473,1041,180,216,48,209,257,400,66,16,145,103,1298
Keegan,Murray,,SAC,2382,354,782,62,81,89,282,371,98,61,42,60,162,976
Mike,Muscala,,TOT,945,131,292,40,52,37,166,203,50,15,24,23,98,383
Mike,Muscala,,OKC,622,89,203,31,39,23,112,135,38,11,19,14,70,265
Mike,Muscala,,BOS,323,42,89,9,13,14,54,68,12,4,5,9,28,118
Svi,Mykhailiuk,,TOT,468,77,173,26,39,15,38,53,53,15,4,24,23,222
Svi,Mykhailiuk,,NYK,40,6,12,3,5,0,7,7,1,1,0,2,1,21
Svi,Mykhailiuk,,CHO,428,71,161,23,34,15,31,46,52,14,4,22,22,201
Larry,Nance,Jr.,NOP,1381,186,305,55,79,106,248,354,119,56,37,42,133,441
Andrew,Nembhard,,IND,2073,284,644,49,62,35,164,199,341,70,13,126,179,709
Aaron,Nesmith,,IND,1816,252,590,119,142,62,215,277,98,55,34,75,235,738
Raul,Neto,,CLE,505,57,110,31,34,10,36,46,79,17,4,24,49,157
Georges,Niang,,PHI,1512,222,502,39,45,19,166,185,77,30,14,54,145,637
Daishen,Nix,,HOU,914,81,237,24,36,18,80,98,132,31,7,86,59,226
Zeke,Nnaji,,DEN,728,110,196,40,62,65,73,138,18,17,23,31,105,277
Nerlens,Noel,,TOT,195,13,36,8,12,10,36,46,10,16,10,13,32,35
Nerlens,Noel,,DET,152,12,30,7,10,7,30,37,7,13,9,8,25,32
Nerlens,Noel,,BRK,43,1,6,1,2,3,6,9,3,3,1,5,7,3
Jaylen,Nowell,,MIN,1252,280,625,77,99,36,134,170,132,42,5,65,101,704
Frank,Ntilikina,,DAL,607,48,132,22,33,7,55,62,58,16,7,29,65,135
Kendrick,Nunn,,TOT,964,191,450,35,41,15,94,109,90,28,7,66,66,496
Kendrick,Nunn,,LAL,528,102,251,17,21,5,50,55,34,11,3,31,35,262
Kendrick,Nunn,,WAS,436,89,199,18,20,10,44,54,56,17,4,35,31,234
Jusuf,Nurki?,,POR,1391,262,505,127,192,114,357,471,149,43,44,119,185,694
Jordan,Nwora,,TOT,1188,194,445,68,86,51,178,229,88,24,14,66,74,542
Jordan,Nwora,,MIL,597,76,197,37,43,29,88,117,38,12,7,34,34,229
Jordan,Nwora,,IND,591,118,248,31,43,22,90,112,50,12,7,32,40,313
Royce,O'Neale,,BRK,2409,229,593,50,69,55,329,384,283,65,49,114,239,671
Chuma,Okeke,,ORL,518,43,122,16,21,26,70,96,37,19,11,17,40,128
Josh,Okogie,,PHO,1350,162,414,139,192,109,142,251,105,56,34,63,114,529
Onyeka,Okongwu,,ATL,1849,317,497,153,196,217,359,576,81,56,107,81,251,791
Isaac,Okoro,,CLE,1652,175,354,78,103,52,135,187,87,56,30,42,158,490
KZ,Okpala,,SAC,248,16,38,7,8,7,27,34,13,7,7,7,39,46
Victor,Oladipo,,MIA,1106,160,403,59,79,16,112,128,146,57,12,87,99,449
Kelly,Olynyk,,UTA,1942,278,557,198,232,82,338,420,252,60,37,168,232,847
Eugene,Omoruyi,,TOT,645,101,228,51,75,43,68,111,28,28,3,34,91,278
Eugene,Omoruyi,,OKC,272,44,94,17,28,22,30,52,11,14,0,16,46,113
Eugene,Omoruyi,,DET,373,57,134,34,47,21,38,59,17,14,3,18,45,165
Cedi,Osman,,CLE,1548,239,530,75,108,25,151,176,115,35,11,52,122,669
Kelly,Oubre,Jr.,CHO,1548,353,819,158,208,65,184,249,54,68,18,64,141,972
Chris,Paul,,PHO,1889,294,668,133,160,27,224,251,524,91,22,114,126,819
Cameron,Payne,,PHO,968,188,453,49,64,12,94,106,214,33,8,81,88,493
Gary,Payton,II,TOT,367,41,69,6,7,24,45,69,30,22,5,16,43,101
Gary,Payton,II,POR,255,24,41,4,4,10,29,39,22,16,1,12,29,61
Gary,Payton,II,GSW,112,17,28,2,3,14,16,30,8,6,4,4,14,40
Theo,Pinson,,DAL,323,31,87,11,13,10,53,63,46,6,1,12,34,95
Scotty,Pippen,Jr.,LAL,32,4,12,5,9,2,2,4,2,2,1,2,3,14
Mason,Plumlee,,TOT,2054,329,484,199,313,229,471,700,245,46,47,117,217,857
Mason,Plumlee,,CHO,1597,265,396,155,256,187,354,541,205,35,35,87,161,685
Mason,Plumlee,,LAC,457,64,88,44,57,42,117,159,40,11,12,30,56,172
Jakob,Poeltl,,TOT,1906,389,618,119,201,236,417,653,197,66,86,125,195,897
Jakob,Poeltl,,SAS,1199,239,388,78,129,152,264,416,141,36,52,96,118,556
Jakob,Poeltl,,TOR,707,150,230,41,72,84,153,237,56,30,34,29,77,341
Aleksej,Pokusevski,,OKC,701,108,249,22,35,45,114,159,64,20,43,43,58,276
Jordan,Poole,,GSW,2458,550,1278,361,415,32,193,225,369,63,21,252,214,1675
Kevin,Porter,Jr.,HOU,2024,391,884,207,264,76,238,314,338,82,17,188,156,1130
Michael,Porter,Jr.,DEN,1798,398,817,96,120,64,277,341,65,37,29,68,119,1080
Otto,Porter,Jr.,TOR,146,15,30,8,8,6,13,19,8,11,0,4,7,44
Bobby,Portis,,MIL,1818,398,803,96,125,154,518,672,105,29,16,81,115,987
Kristaps,Porzi??is,,WAS,2120,507,1018,354,416,114,432,546,174,58,100,137,196,1505
Micah,Potter,,UTA,52,10,15,0,0,3,13,16,4,1,0,2,5,24
Dwight,Powell,,DAL,1458,197,269,112,168,149,165,314,69,48,26,65,209,506
Norman,Powell,,LAC,1567,340,710,225,277,24,151,175,109,50,18,101,125,1019
Jason,Preston,,LAC,124,18,41,0,2,2,20,22,27,2,0,10,7,41
Joshua,Primo,,SAS,93,9,26,7,9,2,11,13,18,1,2,11,8,28
Taurean,Prince,,MIN,1192,177,379,65,77,15,117,132,84,28,15,69,123,493
Payton,Pritchard,,BOS,643,101,245,12,16,25,63,88,64,14,1,40,37,270
Trevelin,Queen,,IND,70,7,29,5,5,8,9,17,6,2,5,7,4,21
Neemias,Queta,,SAC,29,6,9,0,2,5,6,11,1,0,2,1,7,12
Immanuel,Quickley,,NYK,2344,419,936,203,248,58,279,337,279,80,14,100,166,1209
Lester,Quinones,,GSW,18,2,5,4,6,1,2,3,2,1,0,5,0,10
Julius,Randle,,NYK,2737,658,1432,402,531,141,626,767,316,49,21,216,233,1936
Austin,Reaves,,LAL,1843,259,490,229,265,33,160,193,215,33,19,99,108,833
Cam,Reddish,,TOT,990,139,312,64,75,18,70,88,57,39,14,47,72,387
Cam,Reddish,,NYK,438,61,136,29,33,7,24,31,20,15,8,15,32,168
Cam,Reddish,,POR,552,78,176,35,42,11,46,57,37,24,6,32,40,219
Davon,Reed,,TOT,342,28,84,16,24,10,49,59,23,15,4,20,39,89
Davon,Reed,,DEN,315,25,80,15,20,9,46,55,19,13,4,20,36,81
Davon,Reed,,LAL,27,3,4,1,4,1,3,4,4,2,0,0,3,8
Paul,Reed,,PHI,755,124,209,38,51,112,150,262,27,46,51,45,123,287
Naz,Reid,,MIN,1251,310,577,86,127,73,260,333,77,42,53,92,176,781
Jared,Rhoden,,DET,198,17,44,6,6,11,26,37,4,4,1,3,23,45
Nick,Richards,,CHO,1217,197,313,137,183,147,269,416,38,11,71,59,154,532
Josh,Richardson,,TOT,1530,239,554,69,81,41,134,175,174,69,20,86,117,654
Josh,Richardson,,SAS,997,177,406,53,60,30,89,119,137,40,11,63,70,481
Josh,Richardson,,NOP,533,62,148,16,21,11,45,56,37,29,9,23,47,173
Austin,Rivers,,MIN,1016,91,209,30,39,5,78,83,75,28,4,23,80,255
Duncan,Robinson,,MIA,691,88,237,29,32,8,61,69,46,14,0,28,77,268
Mitchell,Robinson,,NYK,1591,188,280,59,122,267,288,555,53,56,109,41,160,435
Orlando,Robinson,,MIA,425,47,89,22,31,48,78,126,25,12,12,16,53,116
Jeremiah,Robinson-Earl,,OKC,814,110,248,35,42,71,109,180,43,24,11,19,71,292
Isaiah,Roby,,SAS,474,67,155,20,41,21,86,107,38,18,7,31,53,172
David,Roddy,,MEM,1258,180,420,41,65,50,143,193,59,29,19,57,107,466
Ryan,Rollins,,GSW,62,7,20,6,6,3,9,12,6,1,1,16,10,23
Derrick,Rose,,NYK,338,61,159,11,12,8,32,40,46,7,5,22,18,152
Terrence,Ross,,TOT,1330,200,465,27,34,22,132,154,95,35,10,43,97,522
Terrence,Ross,,ORL,944,129,299,15,20,10,75,85,54,25,8,37,53,334
Terrence,Ross,,PHO,386,71,166,12,14,12,57,69,41,10,2,6,44,188
Terry,Rozier,,CHO,2221,493,1188,178,220,51,208,259,319,74,16,134,119,1329
Ricky,Rubio,,CLE,566,61,178,28,35,9,61,70,115,26,6,31,51,171
D'Angelo,Russell,,TOT,2304,445,948,179,216,35,180,215,437,70,29,186,140,1263
D'Angelo,Russell,,MIN,1778,338,727,143,167,28,137,165,334,60,21,147,117,967
D'Angelo,Russell,,LAL,526,107,221,36,49,7,43,50,103,10,8,39,23,296
Matt,Ryan,,TOT,310,40,108,10,12,4,22,26,16,5,1,7,27,122
Matt,Ryan,,LAL,129,15,49,4,5,2,12,14,4,2,0,3,14,47
Matt,Ryan,,MIN,181,25,59,6,7,2,10,12,12,3,1,4,13,75
Domantas,Sabonis,,SAC,2736,577,938,325,438,251,722,973,573,65,39,230,279,1510
Luka,Šamani?,,UTA,161,26,57,9,13,0,30,30,15,6,2,10,17,69
Dario,Šari?,,TOT,806,127,277,63,76,53,154,207,74,20,7,55,99,362
Dario,Šari?,,PHO,533,76,178,36,44,39,103,142,57,13,5,36,69,215
Dario,Šari?,,OKC,273,51,99,27,32,14,51,65,17,7,2,19,30,147
Olivier,Sarr,,OKC,114,15,30,5,7,12,19,31,4,1,5,4,17,36
Jordan,Schakel,,WAS,6,1,2,0,0,0,0,0,1,1,0,0,1,3
Admiral,Schofield,,ORL,451,55,122,21,23,23,39,62,31,8,5,16,61,155
Dennis,Schröder,,LAL,1986,270,650,216,252,21,144,165,298,50,10,112,145,830
Jay,Scrubb,,ORL,30,5,7,1,2,0,6,6,1,2,0,3,2,13
Dereon,Seabron,,NOP,12,2,5,0,0,1,0,1,0,0,0,0,1,4
Alperen,?engün,,HOU,2171,442,799,206,288,242,436,678,291,70,70,193,258,1109
Collin,Sexton,,UTA,1145,237,468,163,199,37,68,105,138,27,6,85,112,685
Landry,Shamet,,PHO,807,113,300,45,51,11,56,67,93,26,5,36,61,346
Day'Ron,Sharpe,,BRK,552,93,171,35,55,99,101,200,37,15,32,42,89,227
Shaedon,Sharpe,,POR,1779,306,648,75,105,63,173,236,94,38,24,83,136,789
Pascal,Siakam,,TOR,2652,630,1313,367,474,131,425,556,415,65,36,169,228,1720
Chris,Silva,,DAL,3,1,1,0,0,0,0,0,0,0,0,1,2,2
Ben,Simmons,,BRK,1105,133,235,25,57,40,223,263,256,54,24,97,139,291
Kobi,Simmons,,CHO,28,1,6,2,2,1,3,4,5,0,2,1,0,5
Marko,Simonovic,,CHI,20,2,7,1,2,1,1,2,0,0,0,0,5,6
Anfernee,Simons,,POR,2171,467,1045,160,179,18,143,161,253,42,14,128,142,1306
Jericho,Sims,,NYK,812,83,107,12,16,99,143,242,25,15,28,27,96,178
Marcus,Smart,,BOS,1957,250,602,88,118,46,145,191,382,93,23,143,172,703
Dennis,Smith,Jr.,CHO,1390,186,452,78,106,27,140,167,261,75,25,82,122,474
Dru,Smith,,TOT,158,18,45,3,3,2,22,24,22,10,4,3,23,44
Dru,Smith,,MIA,67,5,14,0,0,1,8,9,5,4,3,1,10,11
Dru,Smith,,BRK,91,13,31,3,3,1,14,15,17,6,1,2,13,33
Ish,Smith,,DEN,398,52,131,2,4,5,49,54,100,8,7,44,33,108
Jabari,Smith,Jr.,HOU,2451,364,892,162,206,122,447,569,101,43,74,104,227,1010
Jalen,Smith,,IND,1279,242,508,104,137,129,265,394,66,21,60,72,153,642
Xavier,Sneed,,CHO,48,5,10,4,4,0,5,5,5,0,1,3,7,17
Jeremy,Sochan,,SAS,1458,250,552,81,116,95,200,295,142,43,23,97,138,614
Jaden,Springer,,PHI,89,17,35,6,8,6,8,14,8,7,3,3,15,42
Lamar,Stevens,,CLE,1120,129,288,40,57,48,159,207,33,27,19,27,79,328
Isaiah,Stewart,,DET,1414,195,441,110,149,115,288,403,70,20,34,68,133,567
Max,Strus,,MIA,2272,324,790,78,89,49,209,258,171,42,12,70,166,923
Jalen,Suggs,,ORL,1246,186,444,86,119,55,106,161,155,67,27,94,120,524
Edmond,Sumner,,BRK,736,124,269,99,108,13,66,79,68,31,10,50,83,378
Cole,Swider,,LAL,41,3,9,0,0,1,6,7,4,0,0,0,3,9
Jae'Sean,Tate,,HOU,677,110,229,50,69,41,77,118,84,21,7,47,106,283
Jayson,Tatum,,BOS,2732,727,1559,531,622,78,571,649,342,78,51,213,160,2225
Terry,Taylor,,TOT,264,39,75,6,11,27,20,47,10,3,6,9,26,89
Terry,Taylor,,IND,228,30,65,5,7,22,17,39,10,3,5,9,24,69
Terry,Taylor,,CHI,36,9,10,1,4,5,3,8,0,0,1,0,2,20
Garrett,Temple,,NOP,162,18,45,3,4,5,12,17,13,9,2,4,15,50
Dalen,Terry,,CHI,214,32,72,14,21,12,25,37,22,11,5,8,24,85
Daniel,Theis,,IND,109,21,44,5,12,7,15,22,9,2,6,3,7,49
Cam,Thomas,,BRK,948,201,456,151,174,8,87,95,78,20,7,63,55,604
Klay,Thompson,,GSW,2279,546,1252,116,132,39,247,286,163,49,29,123,130,1509
JT,Thor,,CHO,969,95,238,33,47,36,116,152,36,22,23,44,66,262
Matisse,Thybulle,,TOT,1200,110,253,19,28,40,100,140,53,83,32,24,113,293
Matisse,Thybulle,,PHI,591,50,116,9,12,20,43,63,23,45,14,8,65,130
Matisse,Thybulle,,POR,609,60,137,10,16,20,57,77,30,38,18,16,48,163
Xavier,Tillman,Sr.,MEM,1180,188,306,49,89,121,186,307,96,58,29,44,97,429
Isaiah,Todd,,WAS,61,3,19,2,2,2,10,12,4,1,0,2,4,9
Obi,Toppin,,NYK,1050,187,419,38,47,29,158,187,66,23,12,38,68,497
Juan,Toscano-Anderson,,TOT,700,64,143,19,24,28,96,124,65,16,10,34,80,155
Juan,Toscano-Anderson,,LAL,365,33,66,11,15,14,47,61,25,10,7,17,46,81
Juan,Toscano-Anderson,,UTA,335,31,77,8,9,14,49,63,40,6,3,17,34,74
Karl-Anthony,Towns,,MIN,957,212,428,118,135,48,188,236,140,20,17,86,111,602
Gary,Trent,Jr.,TOR,2118,405,935,172,205,30,143,173,106,104,14,55,102,1148
P.J.,Tucker,,PHI,1920,96,225,19,23,95,200,295,60,39,15,44,180,266
Myles,Turner,,IND,1825,402,733,216,276,88,378,466,89,36,140,103,215,1113
Stanley,Umude,,DET,2,0,1,2,2,0,0,0,0,1,1,0,0,2
Jonas,Valan?i?nas,,NOP,1968,446,816,185,224,225,579,804,140,20,52,159,245,1115
Jarred,Vanderbilt,,TOT,1879,247,451,96,139,170,412,582,184,83,21,97,190,619
Jarred,Vanderbilt,,UTA,1254,173,311,67,102,121,288,409,142,53,15,68,133,432
Jarred,Vanderbilt,,LAL,625,74,140,29,37,49,124,173,42,30,6,29,57,187
Fred,VanVleet,,TOR,2535,437,1112,254,283,30,250,280,495,123,38,140,193,1335
Devin,Vassell,,SAS,1178,261,595,78,100,8,140,148,136,43,17,57,57,703
Gabe,Vincent,,MIA,1759,228,567,68,78,27,118,145,167,62,5,92,154,641
Noah,Vonleh,,BOS,171,11,24,2,2,18,30,48,7,2,8,11,35,25
Nikola,Vu?evi?,,CHI,2746,597,1148,132,158,159,744,903,265,60,57,139,179,1447
Dean,Wade,,CLE,891,73,177,15,23,20,130,150,37,28,21,17,89,206
Franz,Wagner,,ORL,2609,542,1118,271,322,70,259,329,283,77,17,167,183,1485
Moritz,Wagner,,ORL,1109,198,396,153,182,69,190,259,84,37,13,68,136,600
Ish,Wainright,,PHO,915,84,227,26,31,45,94,139,53,38,22,22,117,251
Jabari,Walker,,POR,619,83,198,34,45,48,83,131,34,10,13,29,69,216
Kemba,Walker,,DAL,144,24,57,17,21,3,13,16,19,2,2,4,11,72
Lonnie,Walker,IV,LAL,1297,236,527,91,106,14,95,109,64,30,17,46,71,654
John,Wall,,LAC,755,138,338,77,113,14,78,92,178,27,12,80,59,386
T.J.,Warren,,TOT,687,132,270,28,35,26,95,121,40,22,12,20,65,314
T.J.,Warren,,BRK,490,102,200,27,33,13,59,72,29,15,7,17,45,247
T.J.,Warren,,PHO,197,30,70,1,2,13,36,49,11,7,5,3,20,67
Duane,Washington,Jr.,PHO,394,94,256,16,24,2,34,36,63,6,4,34,23,244
P.J.,Washington,,CHO,2380,434,978,127,174,73,285,358,175,66,79,110,193,1144
TyTy,Washington,Jr.,HOU,433,58,160,10,18,2,43,45,47,15,2,14,29,145
Yuta,Watanabe,,BRK,928,114,232,34,47,30,111,141,48,25,17,22,80,322
Lindy,Waters,III,OKC,531,70,178,16,20,16,59,75,28,14,11,10,42,214
Trendon,Watford,,POR,1182,181,323,72,100,42,196,238,130,32,12,71,118,459
